"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Antigua and Barbuda","ATG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.76061493051723","1.74741037722299","1.75052644999068","1.7409999772768","1.75990678678652","1.76518947363652","1.78505857062964","1.78686350691632","1.804257153926","1.80594706604564","1.74484173126445","1.73169625939511","1.71708798880752","1.66929207636322","1.65068012376684","1.67189973659734","1.62846793518123","1.64482520930446","1.68457059530579","1.70458943751958","1.70916354691474","1.69137668609619","1.82857131958008","1.85441470146179","1.914715051651","2.03954124450684","2.06004309654236","2.09350109100342","2.09276103729543","2.0602633414918","2.07125121609394","2.028070497198",
"Australia","AUS","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.365074","1.347968","1.328112","1.312347","1.300571","1.310418","1.311735","1.307666","1.299857","1.29695","1.311512","1.326073","1.33649","1.353236","1.365806","1.388356","1.403522","1.426868","1.479073","1.442545","1.503317","1.511052","1.540115","1.447123","1.452489","1.473691","1.450156","1.477553","1.470403","1.482686","1.446009","1.438979",
"Austria","AUT","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.920512","0.922828","0.933657","0.937184","0.940758","0.938151","0.934074","0.931504","0.922763","0.923906","0.90762","0.923168","0.899797","0.888168","0.878078","0.881939","0.860024","0.868179","0.854424","0.843731","0.84219","0.831374","0.813648","0.797081","0.798797","0.798813","0.776931","0.775009","0.765403","0.770813","0.763921","0.770831",
"Azerbaijan","AZE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.77831688560751E-06","1.38100401098191E-05","0.000157346645162103","0.00130205879757143","0.0189449170389814","0.119806830002592","0.148735492553511","0.159727977791928","0.156425766001711","0.157587143039612","0.173346891906244","0.173791152103165","0.178335960569132","0.187058962896155","0.199023003366649","0.221383937544487","0.239027625850497","0.281681026523006","0.353151647773175","0.284775091160583","0.319510354591406","0.383509784936905","0.369043290615082","0.359447956085205","0.354803949594498","0.377257108688354","0.43090146780014","0.505471646785736","0.553831646631899","0.542786304169393","0.49665614249898","0.577726650907169",
"Burundi","BDI","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.2266635880292","71.7167806909687","73.9064870043369","77.7850349443527","81.2144788253896","92.3556068509166","103.803261238464","135.103456715347","148.897661222565","168.78544652634","186.797418734669","207.739050721948","206.653553862207","226.862511004816","249.975846441086","288.042755179614","287.37237784946","302.960182879968","369.242582730022","405.263352337391","434.735591083906","461.509124755859","527.052978515625","539.311096191406","547.099609375","570.659118652344","585.893188476563","654.895874023438","621.380857702887","616.79659953274","676.457068047972","710.133320666739",
"Belgium","BEL","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.91366","0.909195","0.919379","0.933954","0.933578","0.925567","0.927866","0.92748","0.935599","0.931348","0.900114","0.89263","0.8733","0.876113","0.888326","0.891788","0.874269","0.878973","0.86694","0.85011","0.836572","0.831911","0.822137","0.806166","0.800214","0.799998","0.781011","0.775634","0.766407","0.766896","0.745495","0.742723",
"Benin","BEN","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.1654917583658","83.977517817123","84.5902154989703","84.5968113422481","110.578781711885","124.66154287618","130.875984505147","133.375897501819","138.791453532355","203.025667961988","207.146130876974","206.573498714727","210.632783342373","212.880331195101","208.910874222034","211.256183265881","209.22475427275","204.514006075421","213.576494487756","217.605924292001","216.915906498762","220.433578491211","234.004196166992","231.47721862793","225.044235229492","220.523895263672","214.433868408203","216.77360534668","213.135125504233","208.557300547294","212.004495284801","209.042140897802",
"Burkina Faso","BFA","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162.618508274145","151.057749508345","148.027330545165","142.514925889935","159.961770005998","167.282739478075","164.84775360613","164.575129040073","175.665738355912","203.349786825191","197.21478483688","200.510154640079","203.468600177153","202.493153616804","197.378272583631","198.533350306646","191.314257921076","190.922739505011","204.488920981918","208.074250181611","213.374348459434","223.115814208984","238.978652954102","231.079254150391","231.325927734375","225.415924072266","215.196685791016","208.757202148438","206.076007121314","205.728551273843","217.17268733625","206.805692102691",
"Bangladesh","BGD","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5568187401219","13.4712895538398","13.5112312171494","13.2189105662361","13.4558614970851","14.1211676850138","14.4544722978693","14.7494319848673","15.2760593305121","15.6333427121215","15.8138993519837","15.9698234194689","16.3368918867242","16.9524422798687","17.2624414498958","17.505226185562","17.979063137131","18.6388161190714","19.725681778225","20.9258714942438","22.1547011544485","23.4095554351807","23.7873516082764","24.9661979675293","25.8188781738281","27.2837295532227","28.4988307952881","29.7381744384766","30.7304811421508","31.2948682511906","32.1099238363296","32.0993820946605",
"Bulgaria","BGR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00068984777930616","0.00217892802451316","0.00339962940715641","0.0050176017001649","0.00848446807951243","0.0196097540537143","0.0381965893102338","0.398182761332642","0.518747295903085","0.525165856185558","0.536033491710137","0.555960166222414","0.558287025653635","0.55982924226254","0.58024508802745","0.596500192432096","0.618225821835061","0.656434205228211","0.677679153347196","0.69319798257403","0.676938795589226","0.701072655848173","0.692817304069677","0.680008079875339","0.661228934999427","0.678698152541155","0.666663426353467","0.676280334555643","0.680097390266399","0.704520561923875","0.704226857853029","0.720480271237119",
